Date_Time (LST/LDT), Event, Speed (knots)
2024-01-01 12:48 AM, slack,-
2024-01-01 03:18 AM, flood,4.0
2024-01-01 06:42 AM, slack,-
2024-01-01 09:30 AM, ebb,-5.3
2024-01-01 01:42 PM, slack,-
2024-01-01 03:48 PM, flood,2.9
2024-01-01 07:12 PM, slack,-
2024-01-01 09:42 PM, ebb,-3.9
2024-01-02 01:42 AM, slack,-
2024-01-02 04:00 AM, flood,3.5
2024-01-02 07:24 AM, slack,-
2024-01-02 10:12 AM, ebb,-5.1
2024-01-02 02:24 PM, slack,-
2024-01-02 04:36 PM, flood,2.8
2024-01-02 08:06 PM, slack,-
2024-01-02 10:36 PM, ebb,-3.5
2024-01-03 02:42 AM, slack,-
2024-01-03 05:00 AM, flood,3.2
2024-01-03 08:12 AM, slack,-
2024-01-03 11:00 AM, ebb,-4.9
2024-01-03 03:18 PM, slack,-
2024-01-03 05:30 PM, flood,2.7
2024-01-03 09:06 PM, slack,-
2024-01-03 11:54 PM, ebb,-3.3
2024-01-04 03:42 AM, slack,-
2024-01-04 06:00 AM, flood,3.1
2024-01-04 09:06 AM, slack,-
2024-01-04 11:54 AM, ebb,-4.9
2024-01-04 04:12 PM, slack,-
2024-01-04 06:30 PM, flood,2.7
2024-01-04 10:18 PM, slack,-
2024-01-05 01:30 AM, ebb,-3.5
2024-01-05 04:48 AM, slack,-
2024-01-05 07:06 AM, flood,3.3
2024-01-05 10:06 AM, slack,-
2024-01-05 12:54 PM, ebb,-5.4
2024-01-05 05:06 PM, slack,-
2024-01-05 07:36 PM, flood,3.1
2024-01-05 11:24 PM, slack,-
2024-01-06 02:54 AM, ebb,-3.9
2024-01-06 05:42 AM, slack,-
2024-01-06 08:00 AM, flood,3.4
2024-01-06 11:00 AM, slack,-
2024-01-06 01:42 PM, ebb,-6.1
2024-01-06 05:54 PM, slack,-
2024-01-06 09:24 PM, flood,3.9
2024-01-07 12:24 AM, slack,-
2024-01-07 03:54 AM, ebb,-4.3
2024-01-07 06:36 AM, slack,-
2024-01-07 09:00 AM, flood,3.5
2024-01-07 11:42 AM, slack,-
2024-01-07 02:36 PM, ebb,-6.8
2024-01-07 06:36 PM, slack,-
2024-01-07 10:06 PM, flood,4.9
2024-01-08 01:18 AM, slack,-
2024-01-08 04:42 AM, ebb,-4.7
2024-01-08 07:30 AM, slack,-
2024-01-08 09:48 AM, flood,3.5
2024-01-08 12:24 PM, slack,-
2024-01-08 03:24 PM, ebb,-7.5
2024-01-08 07:18 PM, slack,-
2024-01-08 10:36 PM, flood,5.9
2024-01-09 02:06 AM, slack,-
2024-01-09 05:18 AM, ebb,-5.0
2024-01-09 08:24 AM, slack,-
2024-01-09 10:36 AM, flood,3.5
2024-01-09 01:00 PM, slack,-
2024-01-09 04:06 PM, ebb,-8.0
2024-01-09 07:54 PM, slack,-
2024-01-09 11:06 PM, flood,6.6
2024-01-10 02:48 AM, slack,-
2024-01-10 05:54 AM, ebb,-5.3
2024-01-10 09:12 AM, slack,-
2024-01-10 11:18 AM, flood,3.3
2024-01-10 01:48 PM, slack,-
2024-01-10 04:54 PM, ebb,-8.1
2024-01-10 08:36 PM, slack,-
2024-01-10 11:36 PM, flood,7.1
2024-01-11 03:30 AM, slack,-
2024-01-11 06:24 AM, ebb,-5.6
2024-01-11 10:00 AM, slack,-
2024-01-11 12:00 PM, flood,3.3
2024-01-11 02:36 PM, slack,-
2024-01-11 05:36 PM, ebb,-7.9
2024-01-11 09:18 PM, slack,-
2024-01-12 12:18 AM, flood,7.2
2024-01-12 04:06 AM, slack,-
2024-01-12 07:00 AM, ebb,-6.1
2024-01-12 10:48 AM, slack,-
2024-01-12 12:54 PM, flood,3.4
2024-01-12 03:30 PM, slack,-
2024-01-12 06:30 PM, ebb,-7.5
2024-01-12 10:06 PM, slack,-
2024-01-13 01:06 AM, flood,7.1
2024-01-13 04:48 AM, slack,-
2024-01-13 07:36 AM, ebb,-6.5
2024-01-13 11:30 AM, slack,-
2024-01-13 01:42 PM, flood,3.7
2024-01-13 04:30 PM, slack,-
2024-01-13 07:24 PM, ebb,-7.0
2024-01-13 10:54 PM, slack,-
2024-01-14 01:48 AM, flood,6.7
2024-01-14 05:24 AM, slack,-
2024-01-14 08:18 AM, ebb,-6.8
2024-01-14 12:12 PM, slack,-
2024-01-14 02:36 PM, flood,3.9
2024-01-14 05:30 PM, slack,-
2024-01-14 08:18 PM, ebb,-6.5
2024-01-14 11:48 PM, slack,-
2024-01-15 02:42 AM, flood,6.2
2024-01-15 06:12 AM, slack,-
2024-01-15 09:00 AM, ebb,-6.8
2024-01-15 01:00 PM, slack,-
2024-01-15 03:24 PM, flood,3.9
2024-01-15 06:30 PM, slack,-
2024-01-15 09:12 PM, ebb,-5.9
2024-01-16 12:48 AM, slack,-
2024-01-16 03:30 AM, flood,5.6
2024-01-16 07:00 AM, slack,-
2024-01-16 09:42 AM, ebb,-6.6
2024-01-16 01:54 PM, slack,-
2024-01-16 04:18 PM, flood,3.6
2024-01-16 07:36 PM, slack,-
2024-01-16 10:12 PM, ebb,-5.2
2024-01-17 01:54 AM, slack,-
2024-01-17 04:30 AM, flood,5.0
2024-01-17 07:54 AM, slack,-
2024-01-17 10:42 AM, ebb,-6.1
2024-01-17 02:54 PM, slack,-
2024-01-17 05:54 PM, flood,3.3
2024-01-17 08:48 PM, slack,-
2024-01-17 11:42 PM, ebb,-4.6
2024-01-18 03:00 AM, slack,-
2024-01-18 05:42 AM, flood,4.6
2024-01-18 08:54 AM, slack,-
2024-01-18 11:54 AM, ebb,-5.9
2024-01-18 04:06 PM, slack,-
2024-01-18 07:42 PM, flood,3.5
2024-01-18 10:00 PM, slack,-
2024-01-19 01:24 AM, ebb,-4.6
2024-01-19 04:12 AM, slack,-
2024-01-19 06:54 AM, flood,4.4
2024-01-19 10:00 AM, slack,-
2024-01-19 01:12 PM, ebb,-6.0
2024-01-19 05:12 PM, slack,-
2024-01-19 09:00 PM, flood,4.3
2024-01-19 11:18 PM, slack,-
2024-01-20 02:42 AM, ebb,-4.9
2024-01-20 05:18 AM, slack,-
2024-01-20 08:12 AM, flood,4.3
2024-01-20 10:54 AM, slack,-
2024-01-20 02:24 PM, ebb,-6.4
2024-01-20 06:12 PM, slack,-
2024-01-20 09:54 PM, flood,5.2
2024-01-21 12:24 AM, slack,-
2024-01-21 03:42 AM, ebb,-5.4
2024-01-21 06:18 AM, slack,-
2024-01-21 09:24 AM, flood,4.4
2024-01-21 11:48 AM, slack,-
2024-01-21 03:24 PM, ebb,-6.8
2024-01-21 07:00 PM, slack,-
2024-01-21 10:48 PM, flood,6.0
2024-01-22 01:18 AM, slack,-
2024-01-22 04:36 AM, ebb,-5.8
2024-01-22 07:18 AM, slack,-
2024-01-22 10:18 AM, flood,4.3
2024-01-22 12:36 PM, slack,-
2024-01-22 04:06 PM, ebb,-6.9
2024-01-22 07:42 PM, slack,-
2024-01-22 11:30 PM, flood,6.3
2024-01-23 02:06 AM, slack,-
2024-01-23 05:24 AM, ebb,-6.1
2024-01-23 08:12 AM, slack,-
2024-01-23 11:00 AM, flood,4.1
2024-01-23 01:24 PM, slack,-
2024-01-23 04:36 PM, ebb,-6.7
2024-01-23 08:18 PM, slack,-
2024-01-24 12:06 AM, flood,6.2
2024-01-24 02:48 AM, slack,-
2024-01-24 06:12 AM, ebb,-6.2
2024-01-24 09:06 AM, slack,-
2024-01-24 11:42 AM, flood,3.8
2024-01-24 02:06 PM, slack,-
2024-01-24 05:12 PM, ebb,-6.3
2024-01-24 08:54 PM, slack,-
2024-01-25 12:36 AM, flood,5.8
2024-01-25 03:24 AM, slack,-
2024-01-25 06:54 AM, ebb,-6.1
2024-01-25 09:48 AM, slack,-
2024-01-25 12:24 PM, flood,3.6
2024-01-25 02:54 PM, slack,-
2024-01-25 05:48 PM, ebb,-5.8
2024-01-25 09:30 PM, slack,-
2024-01-26 01:00 AM, flood,5.2
2024-01-26 03:54 AM, slack,-
2024-01-26 07:24 AM, ebb,-5.9
2024-01-26 10:30 AM, slack,-
2024-01-26 01:00 PM, flood,3.5
2024-01-26 03:42 PM, slack,-
2024-01-26 06:30 PM, ebb,-5.3
2024-01-26 10:12 PM, slack,-
2024-01-27 01:06 AM, flood,4.7
2024-01-27 04:24 AM, slack,-
2024-01-27 07:42 AM, ebb,-5.8
2024-01-27 11:06 AM, slack,-
2024-01-27 01:30 PM, flood,3.6
2024-01-27 04:30 PM, slack,-
2024-01-27 07:12 PM, ebb,-5.0
2024-01-27 10:54 PM, slack,-
2024-01-28 01:30 AM, flood,4.4
2024-01-28 04:54 AM, slack,-
2024-01-28 07:54 AM, ebb,-5.8
2024-01-28 11:36 AM, slack,-
2024-01-28 02:00 PM, flood,3.7
2024-01-28 05:12 PM, slack,-
2024-01-28 07:54 PM, ebb,-4.9
2024-01-28 11:36 PM, slack,-
2024-01-29 02:12 AM, flood,4.3
2024-01-29 05:24 AM, slack,-
2024-01-29 08:18 AM, ebb,-5.8
2024-01-29 12:12 PM, slack,-
2024-01-29 02:36 PM, flood,3.8
2024-01-29 06:00 PM, slack,-
2024-01-29 08:36 PM, ebb,-4.8
2024-01-30 12:24 AM, slack,-
2024-01-30 02:54 AM, flood,4.1
2024-01-30 06:06 AM, slack,-
2024-01-30 08:54 AM, ebb,-5.8
2024-01-30 12:48 PM, slack,-
2024-01-30 03:12 PM, flood,3.7
2024-01-30 06:42 PM, slack,-
2024-01-30 09:18 PM, ebb,-4.6
2024-01-31 01:18 AM, slack,-
2024-01-31 03:42 AM, flood,3.9
2024-01-31 06:48 AM, slack,-
2024-01-31 09:30 AM, ebb,-5.6
2024-01-31 01:36 PM, slack,-
2024-01-31 03:54 PM, flood,3.5
2024-01-31 07:30 PM, slack,-
2024-01-31 10:06 PM, ebb,-4.1
2024-02-01 02:12 AM, slack,-
2024-02-01 04:30 AM, flood,3.6
2024-02-01 07:36 AM, slack,-
2024-02-01 10:18 AM, ebb,-5.4
2024-02-01 02:24 PM, slack,-
2024-02-01 04:48 PM, flood,3.2
2024-02-01 08:30 PM, slack,-
2024-02-01 11:12 PM, ebb,-3.6
2024-02-02 03:12 AM, slack,-
2024-02-02 05:30 AM, flood,3.3
2024-02-02 08:24 AM, slack,-
2024-02-02 11:18 AM, ebb,-5.4
2024-02-02 03:24 PM, slack,-
2024-02-02 05:48 PM, flood,3.1
2024-02-02 09:48 PM, slack,-
2024-02-03 12:54 AM, ebb,-3.4
2024-02-03 04:18 AM, slack,-
2024-02-03 06:30 AM, flood,3.0
2024-02-03 09:18 AM, slack,-
2024-02-03 12:12 PM, ebb,-5.7
2024-02-03 04:24 PM, slack,-
2024-02-03 07:00 PM, flood,3.5
2024-02-03 11:00 PM, slack,-
2024-02-04 02:42 AM, ebb,-3.7
2024-02-04 05:24 AM, slack,-
2024-02-04 07:30 AM, flood,2.8
2024-02-04 10:12 AM, slack,-
2024-02-04 01:06 PM, ebb,-6.2
2024-02-04 05:12 PM, slack,-
2024-02-04 08:12 PM, flood,4.3
2024-02-05 12:00 AM, slack,-
2024-02-05 03:42 AM, ebb,-4.3
2024-02-05 06:24 AM, slack,-
2024-02-05 08:24 AM, flood,2.7
2024-02-05 11:00 AM, slack,-
2024-02-05 02:00 PM, ebb,-6.8
2024-02-05 06:00 PM, slack,-
2024-02-05 09:30 PM, flood,5.3
