,Dive_Site,Date,Day_of_Week,Time,Event,Current_Speed_(knots),Height (cm),Height (ft),Current_Station_Name,Current_Station_ID,Tide_Station_Name,Tide_Station_ID,Latitude,Longitude,Moon Illuminated
0,Alki,1/1/24,Monday,0:24:00, ebb,-0.5,,,HARBOR ISLAND WEST,PUG1507,,,47.5887069,-122.3800092,0.75
1,Alki,1/1/24,Monday,1:34:00,Low,,20,0.66,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.75
2,Alki,1/1/24,Monday,4:00:00, slack,0,,,HARBOR ISLAND WEST,PUG1508,,,47.5887069,-122.3800092,0.75
3,Alki,1/1/24,Monday,6:12:00, flood,0.1,,,HARBOR ISLAND WEST,PUG1509,,,47.5887069,-122.3800092,0.75
4,Alki,1/1/24,Monday,8:36:00, slack,0,,,HARBOR ISLAND WEST,PUG1510,,,47.5887069,-122.3800092,0.75
5,Alki,1/1/24,Monday,8:56:00,High,,364,11.95,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.75
6,Alki,1/1/24,Monday,12:12:00, ebb,-0.2,,,HARBOR ISLAND WEST,PUG1511,,,47.5887069,-122.3800092,0.75
7,Alki,1/1/24,Monday,14:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1512,,,47.5887069,-122.3800092,0.75
8,Alki,1/1/24,Monday,15:22:00,Low,,181,5.95,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.75
9,Alki,1/1/24,Monday,17:24:00, slack,0,,,HARBOR ISLAND WEST,PUG1513,,,47.5887069,-122.3800092,0.75
10,Alki,1/1/24,Monday,19:57:00,High,,245,8.05,,,LOCKHEED SHIPYARD,9447110,47.5887069,-122.3800092,0.75
42,Alki,1/2/24,Tuesday,1:18:00, ebb,-0.4,,,HARBOR ISLAND WEST,PUG1514,,,47.5887069,-122.3800092,0.67
