,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
0,0.5,,,0.75,Weak Current
1,,20.0,0.66,0.75,
2,0.0,,,0.75,No Current
3,0.1,,,0.75,Weak Current
4,0.0,,,0.75,No Current
5,,364.0,11.95,0.75,
6,0.2,,,0.75,Weak Current
7,0.0,,,0.75,No Current
8,,181.0,5.95,0.75,
9,0.0,,,0.75,No Current
10,,245.0,8.05,0.75,
11,0.4,,,0.67,Weak Current
12,,58.0,1.89,0.67,
13,0.0,,,0.67,No Current
14,0.1,,,0.67,Weak Current
15,0.0,,,0.67,No Current
16,,361.0,11.84,0.67,
17,0.2,,,0.67,Weak Current
18,,155.0,5.09,0.67,
19,0.0,,,0.67,No Current
20,0.0,,,0.67,No Current
21,0.0,,,0.67,No Current
22,,230.0,7.54,0.67,
23,0.3,,,0.58,Weak Current
24,,102.0,3.34,0.58,
25,0.0,,,0.58,No Current
26,0.1,,,0.58,Weak Current
27,,356.0,11.68,0.58,
28,0.0,,,0.58,No Current
29,0.3,,,0.58,Weak Current
30,,125.0,4.09,0.58,
31,0.0,,,0.58,No Current
32,0.0,,,0.58,No Current
33,,223.0,7.33,0.58,
34,0.2,,,0.48,Weak Current
35,,150.0,4.93,0.48,
36,0.0,,,0.48,No Current
37,0.1,,,0.48,Weak Current
38,,350.0,11.48,0.48,
39,0.0,,,0.48,No Current
40,0.4,,,0.48,Weak Current
41,,91.0,2.99,0.48,
42,0.0,,,0.48,No Current
43,,234.0,7.67,0.39,
44,0.0,,,0.39,No Current
45,0.1,,,0.39,Weak Current
46,,198.0,6.51,0.39,
47,0.0,,,0.39,No Current
48,0.1,,,0.39,Weak Current
49,,343.0,11.25,0.39,
50,0.0,,,0.39,No Current
51,0.5,,,0.39,Weak Current
52,,55.0,1.82,0.39,
53,0.0,,,0.39,No Current
54,0.1,,,0.39,Weak Current
55,,263.0,8.62,0.29,
56,0.0,,,0.29,No Current
57,,240.0,7.86,0.29,
58,0.0,,,0.29,No Current
59,0.1,,,0.29,Weak Current
60,,337.0,11.05,0.29,
61,0.0,,,0.29,No Current
62,0.6,,,0.29,Weak Current
63,,20.0,0.66,0.29,
64,0.0,,,0.29,No Current
65,0.2,,,0.29,Weak Current
66,,299.0,9.8,0.2,
67,0.0,,,0.2,No Current
68,0.0,,,0.2,No Current
69,,266.0,8.73,0.2,
70,0.1,,,0.2,Weak Current
71,0.0,,,0.2,No Current
72,,333.0,10.93,0.2,
73,0.7,,,0.2,Weak Current
74,,14.0,0.47,0.2,
75,0.0,,,0.2,No Current
76,0.2,,,0.13,Weak Current
77,,330.0,10.83,0.13,
78,0.0,,,0.13,No Current
79,0.0,,,0.13,No Current
80,,278.0,9.11,0.13,
81,0.1,,,0.13,Weak Current
82,0.0,,,0.13,No Current
83,,333.0,10.93,0.13,
84,0.7,,,0.13,Weak Current
85,,45.0,1.49,0.13,
86,0.0,,,0.13,No Current
87,0.3,,,0.06,Weak Current
88,,354.0,11.62,0.06,
89,0.0,,,0.06,No Current
90,0.1,,,0.06,Weak Current
91,0.0,,,0.06,No Current
92,,280.0,9.17,0.06,
93,0.1,,,0.06,Weak Current
94,0.0,,,0.06,No Current
95,,336.0,11.03,0.06,
96,0.7,,,0.06,Weak Current
97,,72.0,2.36,0.06,
98,0.0,,,0.06,No Current
99,0.3,,,0.02,Weak Current
100,,370.0,12.15,0.02,
101,0.0,,,0.02,No Current
102,0.1,,,0.02,Weak Current
103,0.0,,,0.02,No Current
104,,274.0,8.99,0.02,
105,0.1,,,0.02,Weak Current
106,0.0,,,0.02,No Current
107,,341.0,11.19,0.02,
108,0.7,,,0.02,Weak Current
109,,91.0,3.0,0.02,
110,0.0,,,0.02,No Current
111,0.3,,,0.0,Weak Current
112,,381.0,12.51,0.0,
113,0.0,,,0.0,No Current
114,0.2,,,0.0,Weak Current
115,0.0,,,0.0,No Current
116,,263.0,8.62,0.0,
117,0.2,,,0.0,Weak Current
118,0.0,,,0.0,No Current
119,,344.0,11.3,0.0,
120,0.7,,,0.0,Weak Current
121,,101.0,3.32,0.0,
122,0.0,,,0.01,No Current
123,0.3,,,0.01,Weak Current
124,,388.0,12.74,0.01,
125,0.0,,,0.01,No Current
126,0.2,,,0.01,Weak Current
127,0.0,,,0.01,No Current
128,,245.0,8.04,0.01,
129,0.2,,,0.01,Weak Current
130,0.0,,,0.01,No Current
131,,344.0,11.27,0.01,
132,0.7,,,0.01,Weak Current
133,,98.0,3.22,0.01,
134,0.0,,,0.05,No Current
135,0.3,,,0.05,Weak Current
136,,393.0,12.89,0.05,
137,0.0,,,0.05,No Current
138,0.2,,,0.05,Weak Current
139,0.0,,,0.05,No Current
140,,221.0,7.26,0.05,
141,0.2,,,0.05,Weak Current
142,0.0,,,0.05,No Current
143,,335.0,10.98,0.05,
144,0.7,,,0.05,Weak Current
145,,79.0,2.6,0.11,
146,0.0,,,0.11,No Current
147,0.3,,,0.11,Weak Current
148,,397.0,13.01,0.11,
149,0.0,,,0.11,No Current
150,0.2,,,0.11,Weak Current
151,,191.0,6.27,0.11,
152,0.0,,,0.11,No Current
153,0.1,,,0.11,Weak Current
154,0.0,,,0.11,No Current
155,,318.0,10.44,0.11,
156,0.7,,,0.11,Weak Current
157,,44.0,1.45,0.2,
158,0.0,,,0.2,No Current
159,0.3,,,0.2,Weak Current
160,,398.0,13.07,0.2,
161,0.0,,,0.2,No Current
162,0.3,,,0.2,Weak Current
163,,156.0,5.12,0.2,
164,0.0,,,0.2,No Current
165,0.0,,,0.2,No Current
166,,296.0,9.7,0.2,
167,0.5,,,0.3,Weak Current
168,,7.0,0.22,0.3,
169,0.0,,,0.3,No Current
170,0.2,,,0.3,Weak Current
171,,397.0,13.04,0.3,
172,0.0,,,0.3,No Current
173,0.4,,,0.3,Weak Current
174,,118.0,3.87,0.3,
175,0.0,,,0.3,No Current
176,,272.0,8.94,0.3,
177,0.0,,,0.3,No Current
178,0.4,,,0.41,Weak Current
179,,69.0,2.25,0.41,
180,0.0,,,0.41,No Current
181,0.2,,,0.41,Weak Current
182,,393.0,12.88,0.41,
183,0.0,,,0.41,No Current
184,0.5,,,0.41,Weak Current
185,,80.0,2.62,0.41,
186,0.0,,,0.41,No Current
187,,258.0,8.46,0.41,
188,0.0,,,0.41,No Current
189,0.3,,,0.52,Weak Current
190,,135.0,4.42,0.52,
191,0.0,,,0.52,No Current
192,0.2,,,0.52,Weak Current
193,,383.0,12.57,0.52,
194,0.0,,,0.52,No Current
195,0.6,,,0.52,Weak Current
196,,44.0,1.44,0.52,
197,0.0,,,0.52,No Current
198,0.2,,,0.52,Weak Current
199,,263.0,8.63,0.63,
200,0.0,,,0.63,No Current
201,0.2,,,0.63,Weak Current
202,,197.0,6.45,0.63,
203,0.0,,,0.63,No Current
204,0.2,,,0.63,Weak Current
205,,370.0,12.13,0.63,
206,0.0,,,0.63,No Current
207,0.7,,,0.63,Weak Current
208,,13.0,0.43,0.63,
209,0.0,,,0.63,No Current
210,0.2,,,0.63,Weak Current
211,,292.0,9.58,0.73,
212,0.0,,,0.73,No Current
213,0.1,,,0.73,Weak Current
214,,242.0,7.94,0.73,
215,0.0,,,0.73,No Current
216,0.2,,,0.73,Weak Current
217,,354.0,11.61,0.73,
218,0.0,,,0.73,No Current
219,0.7,,,0.73,Weak Current
220,,11.0,0.36,0.73,
221,0.0,,,0.73,No Current
222,0.2,,,0.73,Weak Current
223,,328.0,10.75,0.82,
224,0.0,,,0.82,No Current
225,0.1,,,0.82,Weak Current
226,0.0,,,0.82,No Current
227,,261.0,8.56,0.82,
228,0.1,,,0.82,Weak Current
229,0.0,,,0.82,No Current
230,,339.0,11.11,0.82,
231,0.7,,,0.82,Weak Current
232,,28.0,0.91,0.82,
233,0.0,,,0.82,No Current
234,0.2,,,0.82,Weak Current
235,,355.0,11.64,0.89,
236,0.0,,,0.89,No Current
237,0.1,,,0.89,Weak Current
238,0.0,,,0.89,No Current
239,,260.0,8.52,0.89,
240,0.0,,,0.89,No Current
241,,327.0,10.72,0.89,
242,0.7,,,0.89,Weak Current
243,,37.0,1.22,0.89,
244,0.0,,,0.89,No Current
245,0.3,,,0.94,Weak Current
246,,370.0,12.14,0.94,
247,0.0,,,0.94,No Current
248,0.1,,,0.94,Weak Current
249,0.0,,,0.94,No Current
250,,250.0,8.21,0.94,
251,0.0,,,0.94,No Current
252,,319.0,10.46,0.94,
253,0.7,,,0.94,Weak Current
254,,41.0,1.34,0.94,
255,0.0,,,0.94,No Current
256,0.2,,,0.98,Weak Current
257,0.0,,,0.98,No Current
258,,375.0,12.3,0.98,
259,0.2,,,0.98,Weak Current
260,0.0,,,0.98,No Current
261,,239.0,7.83,0.98,
262,0.0,,,0.98,No Current
263,,314.0,10.3,0.98,
264,0.6,,,0.98,Weak Current
265,,40.0,1.31,0.98,
266,0.0,,,0.98,No Current
267,0.2,,,1.0,Weak Current
