,Dive_Site,Current_Speed_(knots),Moon Illuminated
4140,Deception Pass,4.0,0.75
4143,Deception Pass,5.3,0.75
4145,Deception Pass,2.9,0.75
4149,Deception Pass,3.9,0.75
4152,Deception Pass,3.5,0.67
4155,Deception Pass,5.1,0.67
4157,Deception Pass,2.8,0.67
4161,Deception Pass,3.5,0.67
4164,Deception Pass,3.2,0.58
4167,Deception Pass,4.9,0.58
4170,Deception Pass,2.7,0.58
4173,Deception Pass,3.3,0.58
4176,Deception Pass,3.1,0.48
4179,Deception Pass,4.9,0.48
4182,Deception Pass,2.7,0.48
4185,Deception Pass,3.5,0.39
4188,Deception Pass,3.3,0.39
4191,Deception Pass,5.4,0.39
4194,Deception Pass,3.1,0.39
4197,Deception Pass,3.9,0.29
4200,Deception Pass,3.4,0.29
4203,Deception Pass,6.1,0.29
4206,Deception Pass,3.9,0.29
4209,Deception Pass,4.3,0.2
4212,Deception Pass,3.5,0.2
4215,Deception Pass,6.8,0.2
4218,Deception Pass,4.9,0.2
4221,Deception Pass,4.7,0.13
4224,Deception Pass,3.5,0.13
4227,Deception Pass,7.5,0.13
4230,Deception Pass,5.9,0.13
4233,Deception Pass,5.0,0.06
4236,Deception Pass,3.5,0.06
4239,Deception Pass,8.0,0.06
4242,Deception Pass,6.6,0.06
4245,Deception Pass,5.3,0.02
4248,Deception Pass,3.3,0.02
4251,Deception Pass,8.1,0.02
4254,Deception Pass,7.1,0.02
4257,Deception Pass,5.6,0.0
4260,Deception Pass,3.3,0.0
4263,Deception Pass,7.9,0.0
4266,Deception Pass,7.2,0.01
4269,Deception Pass,6.1,0.01
4272,Deception Pass,3.4,0.01
4275,Deception Pass,7.5,0.01
4278,Deception Pass,7.1,0.05
4281,Deception Pass,6.5,0.05
4284,Deception Pass,3.7,0.05
4287,Deception Pass,7.0,0.05
4290,Deception Pass,6.7,0.11
4293,Deception Pass,6.8,0.11
4296,Deception Pass,3.9,0.11
4299,Deception Pass,6.5,0.11
4302,Deception Pass,6.2,0.2
4305,Deception Pass,6.8,0.2
4308,Deception Pass,3.9,0.2
4311,Deception Pass,5.9,0.2
4314,Deception Pass,5.6,0.3
4317,Deception Pass,6.6,0.3
4320,Deception Pass,3.6,0.3
4323,Deception Pass,5.2,0.3
4326,Deception Pass,5.0,0.41
4329,Deception Pass,6.1,0.41
4332,Deception Pass,3.3,0.41
4335,Deception Pass,4.6,0.41
4338,Deception Pass,4.6,0.52
4341,Deception Pass,5.9,0.52
4344,Deception Pass,3.5,0.52
4347,Deception Pass,4.6,0.63
4350,Deception Pass,4.4,0.63
4353,Deception Pass,6.0,0.63
4356,Deception Pass,4.3,0.63
4359,Deception Pass,4.9,0.73
4362,Deception Pass,4.3,0.73
4365,Deception Pass,6.4,0.73
4368,Deception Pass,5.2,0.73
4371,Deception Pass,5.4,0.82
4374,Deception Pass,4.4,0.82
4377,Deception Pass,6.8,0.82
4380,Deception Pass,6.0,0.82
4383,Deception Pass,5.8,0.89
4386,Deception Pass,4.3,0.89
4389,Deception Pass,6.9,0.89
4392,Deception Pass,6.3,0.89
4395,Deception Pass,6.1,0.94
4398,Deception Pass,4.1,0.94
4401,Deception Pass,6.7,0.94
4404,Deception Pass,6.2,0.98
4407,Deception Pass,6.2,0.98
4410,Deception Pass,3.8,0.98
4413,Deception Pass,6.3,0.98
4416,Deception Pass,5.8,1.0
4419,Deception Pass,6.1,1.0
4422,Deception Pass,3.6,1.0
4425,Deception Pass,5.8,1.0
4428,Deception Pass,5.2,1.0
4431,Deception Pass,5.9,1.0
4434,Deception Pass,3.5,1.0
4437,Deception Pass,5.3,1.0
4440,Deception Pass,4.7,0.98
4443,Deception Pass,5.8,0.98
4446,Deception Pass,3.6,0.98
4449,Deception Pass,5.0,0.98
4452,Deception Pass,4.4,0.94
4455,Deception Pass,5.8,0.94
4458,Deception Pass,3.7,0.94
4461,Deception Pass,4.9,0.94
4464,Deception Pass,4.3,0.89
4467,Deception Pass,5.8,0.89
4470,Deception Pass,3.8,0.89
4473,Deception Pass,4.8,0.89
4476,Deception Pass,4.1,0.82
4479,Deception Pass,5.8,0.82
4482,Deception Pass,3.7,0.82
4485,Deception Pass,4.6,0.82
4488,Deception Pass,3.9,0.74
4491,Deception Pass,5.6,0.74
4494,Deception Pass,3.5,0.74
4497,Deception Pass,4.1,0.74
4500,Deception Pass,3.6,0.66
4503,Deception Pass,5.4,0.66
4506,Deception Pass,3.2,0.66
4509,Deception Pass,3.6,0.66
4512,Deception Pass,3.3,0.56
4515,Deception Pass,5.4,0.56
4518,Deception Pass,3.1,0.56
4521,Deception Pass,3.4,0.47
4524,Deception Pass,3.0,0.47
4527,Deception Pass,5.7,0.47
4530,Deception Pass,3.5,0.47
4533,Deception Pass,3.7,0.36
4536,Deception Pass,2.8,0.36
4539,Deception Pass,6.2,0.36
4542,Deception Pass,4.3,0.36
4545,Deception Pass,4.3,0.27
4548,Deception Pass,2.7,0.27
4551,Deception Pass,6.8,0.27
4554,Deception Pass,5.3,0.27
4557,Deception Pass,4.9,0.18
4560,Deception Pass,2.8,0.18
4563,Deception Pass,7.1,0.18
4566,Deception Pass,6.1,0.18
4569,Deception Pass,5.4,0.1
4572,Deception Pass,3.0,0.1
4575,Deception Pass,7.3,0.1
4578,Deception Pass,6.7,0.1
4581,Deception Pass,5.9,0.04
4584,Deception Pass,3.4,0.04
4587,Deception Pass,7.3,0.04
4590,Deception Pass,6.9,0.04
4593,Deception Pass,6.4,0.01
4596,Deception Pass,3.9,0.01
