,Current_Speed_(knots),Latitude,Longitude,Moon Illuminated,clusters,cluster
4140,4.0,48.40572205,-122.6449002,0.75,0,blue
4143,5.3,48.40572205,-122.6449002,0.75,1,orange
4145,2.9,48.40572205,-122.6449002,0.75,0,blue
4149,3.9,48.40572205,-122.6449002,0.75,0,blue
4152,3.5,48.40572205,-122.6449002,0.67,0,blue
4155,5.1,48.40572205,-122.6449002,0.67,1,orange
4157,2.8,48.40572205,-122.6449002,0.67,0,blue
4161,3.5,48.40572205,-122.6449002,0.67,0,blue
4164,3.2,48.40572205,-122.6449002,0.58,0,blue
4167,4.9,48.40572205,-122.6449002,0.58,0,blue
4170,2.7,48.40572205,-122.6449002,0.58,0,blue
4173,3.3,48.40572205,-122.6449002,0.58,0,blue
4176,3.1,48.40572205,-122.6449002,0.48,0,blue
4179,4.9,48.40572205,-122.6449002,0.48,0,blue
4182,2.7,48.40572205,-122.6449002,0.48,0,blue
4185,3.5,48.40572205,-122.6449002,0.39,0,blue
4188,3.3,48.40572205,-122.6449002,0.39,0,blue
4191,5.4,48.40572205,-122.6449002,0.39,1,orange
4194,3.1,48.40572205,-122.6449002,0.39,0,blue
4197,3.9,48.40572205,-122.6449002,0.29,0,blue
4200,3.4,48.40572205,-122.6449002,0.29,0,blue
4203,6.1,48.40572205,-122.6449002,0.29,1,orange
4206,3.9,48.40572205,-122.6449002,0.29,0,blue
4209,4.3,48.40572205,-122.6449002,0.2,0,blue
4212,3.5,48.40572205,-122.6449002,0.2,0,blue
4215,6.8,48.40572205,-122.6449002,0.2,1,orange
4218,4.9,48.40572205,-122.6449002,0.2,0,blue
4221,4.7,48.40572205,-122.6449002,0.13,0,blue
4224,3.5,48.40572205,-122.6449002,0.13,0,blue
4227,7.5,48.40572205,-122.6449002,0.13,1,orange
4230,5.9,48.40572205,-122.6449002,0.13,1,orange
4233,5.0,48.40572205,-122.6449002,0.06,1,orange
4236,3.5,48.40572205,-122.6449002,0.06,0,blue
4239,8.0,48.40572205,-122.6449002,0.06,1,orange
4242,6.6,48.40572205,-122.6449002,0.06,1,orange
4245,5.3,48.40572205,-122.6449002,0.02,1,orange
4248,3.3,48.40572205,-122.6449002,0.02,0,blue
4251,8.1,48.40572205,-122.6449002,0.02,1,orange
4254,7.1,48.40572205,-122.6449002,0.02,1,orange
4257,5.6,48.40572205,-122.6449002,0.0,1,orange
4260,3.3,48.40572205,-122.6449002,0.0,0,blue
4263,7.9,48.40572205,-122.6449002,0.0,1,orange
4266,7.2,48.40572205,-122.6449002,0.01,1,orange
4269,6.1,48.40572205,-122.6449002,0.01,1,orange
4272,3.4,48.40572205,-122.6449002,0.01,0,blue
4275,7.5,48.40572205,-122.6449002,0.01,1,orange
4278,7.1,48.40572205,-122.6449002,0.05,1,orange
4281,6.5,48.40572205,-122.6449002,0.05,1,orange
4284,3.7,48.40572205,-122.6449002,0.05,0,blue
4287,7.0,48.40572205,-122.6449002,0.05,1,orange
4290,6.7,48.40572205,-122.6449002,0.11,1,orange
4293,6.8,48.40572205,-122.6449002,0.11,1,orange
4296,3.9,48.40572205,-122.6449002,0.11,0,blue
4299,6.5,48.40572205,-122.6449002,0.11,1,orange
4302,6.2,48.40572205,-122.6449002,0.2,1,orange
4305,6.8,48.40572205,-122.6449002,0.2,1,orange
4308,3.9,48.40572205,-122.6449002,0.2,0,blue
4311,5.9,48.40572205,-122.6449002,0.2,1,orange
4314,5.6,48.40572205,-122.6449002,0.3,1,orange
4317,6.6,48.40572205,-122.6449002,0.3,1,orange
4320,3.6,48.40572205,-122.6449002,0.3,0,blue
4323,5.2,48.40572205,-122.6449002,0.3,1,orange
4326,5.0,48.40572205,-122.6449002,0.41,1,orange
4329,6.1,48.40572205,-122.6449002,0.41,1,orange
4332,3.3,48.40572205,-122.6449002,0.41,0,blue
4335,4.6,48.40572205,-122.6449002,0.41,0,blue
4338,4.6,48.40572205,-122.6449002,0.52,0,blue
4341,5.9,48.40572205,-122.6449002,0.52,1,orange
4344,3.5,48.40572205,-122.6449002,0.52,0,blue
4347,4.6,48.40572205,-122.6449002,0.63,0,blue
4350,4.4,48.40572205,-122.6449002,0.63,0,blue
4353,6.0,48.40572205,-122.6449002,0.63,1,orange
4356,4.3,48.40572205,-122.6449002,0.63,0,blue
4359,4.9,48.40572205,-122.6449002,0.73,0,blue
4362,4.3,48.40572205,-122.6449002,0.73,0,blue
4365,6.4,48.40572205,-122.6449002,0.73,1,orange
4368,5.2,48.40572205,-122.6449002,0.73,1,orange
4371,5.4,48.40572205,-122.6449002,0.82,1,orange
4374,4.4,48.40572205,-122.6449002,0.82,0,blue
4377,6.8,48.40572205,-122.6449002,0.82,1,orange
4380,6.0,48.40572205,-122.6449002,0.82,1,orange
4383,5.8,48.40572205,-122.6449002,0.89,1,orange
4386,4.3,48.40572205,-122.6449002,0.89,0,blue
4389,6.9,48.40572205,-122.6449002,0.89,1,orange
4392,6.3,48.40572205,-122.6449002,0.89,1,orange
4395,6.1,48.40572205,-122.6449002,0.94,1,orange
4398,4.1,48.40572205,-122.6449002,0.94,0,blue
4401,6.7,48.40572205,-122.6449002,0.94,1,orange
4404,6.2,48.40572205,-122.6449002,0.98,1,orange
4407,6.2,48.40572205,-122.6449002,0.98,1,orange
4410,3.8,48.40572205,-122.6449002,0.98,0,blue
4413,6.3,48.40572205,-122.6449002,0.98,1,orange
4416,5.8,48.40572205,-122.6449002,1.0,1,orange
4419,6.1,48.40572205,-122.6449002,1.0,1,orange
4422,3.6,48.40572205,-122.6449002,1.0,0,blue
4425,5.8,48.40572205,-122.6449002,1.0,1,orange
4428,5.2,48.40572205,-122.6449002,1.0,1,orange
4431,5.9,48.40572205,-122.6449002,1.0,1,orange
4434,3.5,48.40572205,-122.6449002,1.0,0,blue
4437,5.3,48.40572205,-122.6449002,1.0,1,orange
4440,4.7,48.40572205,-122.6449002,0.98,0,blue
4443,5.8,48.40572205,-122.6449002,0.98,1,orange
4446,3.6,48.40572205,-122.6449002,0.98,0,blue
4449,5.0,48.40572205,-122.6449002,0.98,1,orange
4452,4.4,48.40572205,-122.6449002,0.94,0,blue
4455,5.8,48.40572205,-122.6449002,0.94,1,orange
4458,3.7,48.40572205,-122.6449002,0.94,0,blue
4461,4.9,48.40572205,-122.6449002,0.94,0,blue
4464,4.3,48.40572205,-122.6449002,0.89,0,blue
4467,5.8,48.40572205,-122.6449002,0.89,1,orange
4470,3.8,48.40572205,-122.6449002,0.89,0,blue
4473,4.8,48.40572205,-122.6449002,0.89,0,blue
4476,4.1,48.40572205,-122.6449002,0.82,0,blue
4479,5.8,48.40572205,-122.6449002,0.82,1,orange
4482,3.7,48.40572205,-122.6449002,0.82,0,blue
4485,4.6,48.40572205,-122.6449002,0.82,0,blue
4488,3.9,48.40572205,-122.6449002,0.74,0,blue
4491,5.6,48.40572205,-122.6449002,0.74,1,orange
4494,3.5,48.40572205,-122.6449002,0.74,0,blue
4497,4.1,48.40572205,-122.6449002,0.74,0,blue
4500,3.6,48.40572205,-122.6449002,0.66,0,blue
4503,5.4,48.40572205,-122.6449002,0.66,1,orange
4506,3.2,48.40572205,-122.6449002,0.66,0,blue
4509,3.6,48.40572205,-122.6449002,0.66,0,blue
4512,3.3,48.40572205,-122.6449002,0.56,0,blue
4515,5.4,48.40572205,-122.6449002,0.56,1,orange
4518,3.1,48.40572205,-122.6449002,0.56,0,blue
4521,3.4,48.40572205,-122.6449002,0.47,0,blue
4524,3.0,48.40572205,-122.6449002,0.47,0,blue
4527,5.7,48.40572205,-122.6449002,0.47,1,orange
4530,3.5,48.40572205,-122.6449002,0.47,0,blue
4533,3.7,48.40572205,-122.6449002,0.36,0,blue
4536,2.8,48.40572205,-122.6449002,0.36,0,blue
4539,6.2,48.40572205,-122.6449002,0.36,1,orange
4542,4.3,48.40572205,-122.6449002,0.36,0,blue
4545,4.3,48.40572205,-122.6449002,0.27,0,blue
4548,2.7,48.40572205,-122.6449002,0.27,0,blue
4551,6.8,48.40572205,-122.6449002,0.27,1,orange
4554,5.3,48.40572205,-122.6449002,0.27,1,orange
4557,4.9,48.40572205,-122.6449002,0.18,0,blue
4560,2.8,48.40572205,-122.6449002,0.18,0,blue
4563,7.1,48.40572205,-122.6449002,0.18,1,orange
4566,6.1,48.40572205,-122.6449002,0.18,1,orange
4569,5.4,48.40572205,-122.6449002,0.1,1,orange
4572,3.0,48.40572205,-122.6449002,0.1,0,blue
4575,7.3,48.40572205,-122.6449002,0.1,1,orange
4578,6.7,48.40572205,-122.6449002,0.1,1,orange
4581,5.9,48.40572205,-122.6449002,0.04,1,orange
4584,3.4,48.40572205,-122.6449002,0.04,0,blue
4587,7.3,48.40572205,-122.6449002,0.04,1,orange
4590,6.9,48.40572205,-122.6449002,0.04,1,orange
4593,6.4,48.40572205,-122.6449002,0.01,1,orange
4596,3.9,48.40572205,-122.6449002,0.01,0,blue
4599,7.1,48.40572205,-122.6449002,0.01,1,orange
4602,6.8,48.40572205,-122.6449002,0.01,1,orange
4605,6.8,48.40572205,-122.6449002,0.0,1,orange
4608,4.3,48.40572205,-122.6449002,0.0,0,blue
4611,6.9,48.40572205,-122.6449002,0.0,1,orange
4614,6.5,48.40572205,-122.6449002,0.03,1,orange
4617,7.1,48.40572205,-122.6449002,0.03,1,orange
4620,4.6,48.40572205,-122.6449002,0.03,0,blue
4623,6.6,48.40572205,-122.6449002,0.03,1,orange
4626,6.2,48.40572205,-122.6449002,0.08,1,orange
4629,7.3,48.40572205,-122.6449002,0.08,1,orange
4632,4.7,48.40572205,-122.6449002,0.08,0,blue
4635,6.4,48.40572205,-122.6449002,0.08,1,orange
4638,5.9,48.40572205,-122.6449002,0.16,1,orange
