,Height (ft),Latitude,Longitude,Moon Illuminated,clusters,cluster
4139,0.62,48.40572205,-122.6449002,0.75,0,blue
4142,10.63,48.40572205,-122.6449002,0.75,1,orange
4146,5.65,48.40572205,-122.6449002,0.75,1,orange
4148,7.16,48.40572205,-122.6449002,0.75,1,orange
4151,1.79,48.40572205,-122.6449002,0.67,0,blue
4154,10.53,48.40572205,-122.6449002,0.67,1,orange
4158,4.84,48.40572205,-122.6449002,0.67,1,orange
4160,6.71,48.40572205,-122.6449002,0.67,1,orange
4163,3.18,48.40572205,-122.6449002,0.58,0,blue
4166,10.4,48.40572205,-122.6449002,0.58,1,orange
4169,3.89,48.40572205,-122.6449002,0.58,0,blue
4172,6.53,48.40572205,-122.6449002,0.58,1,orange
4175,4.69,48.40572205,-122.6449002,0.48,1,orange
4178,10.22,48.40572205,-122.6449002,0.48,1,orange
4181,2.84,48.40572205,-122.6449002,0.48,0,blue
4184,6.83,48.40572205,-122.6449002,0.39,1,orange
4187,6.18,48.40572205,-122.6449002,0.39,1,orange
4190,10.02,48.40572205,-122.6449002,0.39,1,orange
4193,1.73,48.40572205,-122.6449002,0.39,0,blue
4196,7.67,48.40572205,-122.6449002,0.29,1,orange
4199,7.46,48.40572205,-122.6449002,0.29,1,orange
4202,9.84,48.40572205,-122.6449002,0.29,1,orange
4205,0.62,48.40572205,-122.6449002,0.29,0,blue
4208,8.72,48.40572205,-122.6449002,0.2,1,orange
4211,8.29,48.40572205,-122.6449002,0.2,1,orange
4214,9.73,48.40572205,-122.6449002,0.2,1,orange
4217,-0.44,48.40572205,-122.6449002,0.2,0,blue
4220,9.64,48.40572205,-122.6449002,0.13,1,orange
4223,8.66,48.40572205,-122.6449002,0.13,1,orange
4226,9.72,48.40572205,-122.6449002,0.13,1,orange
4229,-1.42,48.40572205,-122.6449002,0.13,0,blue
4232,10.34,48.40572205,-122.6449002,0.06,1,orange
4235,8.71,48.40572205,-122.6449002,0.06,1,orange
4238,9.82,48.40572205,-122.6449002,0.06,1,orange
4241,-2.25,48.40572205,-122.6449002,0.06,0,blue
4244,10.82,48.40572205,-122.6449002,0.02,1,orange
4247,8.55,48.40572205,-122.6449002,0.02,1,orange
4250,9.96,48.40572205,-122.6449002,0.02,1,orange
4253,-2.85,48.40572205,-122.6449002,0.02,0,blue
4256,11.13,48.40572205,-122.6449002,0.0,1,orange
4259,8.19,48.40572205,-122.6449002,0.0,1,orange
4262,10.06,48.40572205,-122.6449002,0.0,1,orange
4265,-3.16,48.40572205,-122.6449002,0.0,0,blue
4268,11.34,48.40572205,-122.6449002,0.01,1,orange
4271,7.64,48.40572205,-122.6449002,0.01,1,orange
4274,10.03,48.40572205,-122.6449002,0.01,1,orange
4277,-3.06,48.40572205,-122.6449002,0.05,0,blue
4280,11.48,48.40572205,-122.6449002,0.05,1,orange
4283,6.89,48.40572205,-122.6449002,0.05,1,orange
4286,9.78,48.40572205,-122.6449002,0.05,1,orange
4289,-2.47,48.40572205,-122.6449002,0.11,0,blue
4292,11.58,48.40572205,-122.6449002,0.11,1,orange
4295,5.96,48.40572205,-122.6449002,0.11,1,orange
4298,9.29,48.40572205,-122.6449002,0.11,1,orange
4301,-1.37,48.40572205,-122.6449002,0.2,0,blue
4304,11.63,48.40572205,-122.6449002,0.2,1,orange
4307,4.86,48.40572205,-122.6449002,0.2,1,orange
4310,8.63,48.40572205,-122.6449002,0.2,1,orange
4313,0.21,48.40572205,-122.6449002,0.3,0,blue
4316,11.61,48.40572205,-122.6449002,0.3,1,orange
4319,3.68,48.40572205,-122.6449002,0.3,0,blue
4322,7.96,48.40572205,-122.6449002,0.3,1,orange
4325,2.13,48.40572205,-122.6449002,0.41,0,blue
4328,11.47,48.40572205,-122.6449002,0.41,1,orange
4331,2.49,48.40572205,-122.6449002,0.41,0,blue
4334,7.53,48.40572205,-122.6449002,0.41,1,orange
4337,4.2,48.40572205,-122.6449002,0.52,0,blue
4340,11.19,48.40572205,-122.6449002,0.52,1,orange
4343,1.37,48.40572205,-122.6449002,0.52,0,blue
4346,7.68,48.40572205,-122.6449002,0.63,1,orange
4349,6.12,48.40572205,-122.6449002,0.63,1,orange
4352,10.79,48.40572205,-122.6449002,0.63,1,orange
4355,0.41,48.40572205,-122.6449002,0.63,0,blue
4358,8.53,48.40572205,-122.6449002,0.73,1,orange
4361,7.54,48.40572205,-122.6449002,0.73,1,orange
4364,10.33,48.40572205,-122.6449002,0.73,1,orange
4367,-0.34,48.40572205,-122.6449002,0.73,0,blue
4370,9.57,48.40572205,-122.6449002,0.82,1,orange
4373,8.14,48.40572205,-122.6449002,0.82,1,orange
4376,9.89,48.40572205,-122.6449002,0.82,1,orange
4379,-0.86,48.40572205,-122.6449002,0.82,0,blue
4382,10.36,48.40572205,-122.6449002,0.89,1,orange
4385,8.1,48.40572205,-122.6449002,0.89,1,orange
4388,9.54,48.40572205,-122.6449002,0.89,1,orange
4391,-1.16,48.40572205,-122.6449002,0.89,0,blue
4394,10.8,48.40572205,-122.6449002,0.94,1,orange
4397,7.8,48.40572205,-122.6449002,0.94,1,orange
4400,9.31,48.40572205,-122.6449002,0.94,1,orange
4403,-1.27,48.40572205,-122.6449002,0.94,0,blue
4406,10.94,48.40572205,-122.6449002,0.98,1,orange
4409,7.44,48.40572205,-122.6449002,0.98,1,orange
4412,9.17,48.40572205,-122.6449002,0.98,1,orange
4415,-1.25,48.40572205,-122.6449002,0.98,0,blue
4418,10.9,48.40572205,-122.6449002,1.0,1,orange
4421,7.07,48.40572205,-122.6449002,1.0,1,orange
4424,9.05,48.40572205,-122.6449002,1.0,1,orange
4427,-1.09,48.40572205,-122.6449002,1.0,0,blue
4430,10.79,48.40572205,-122.6449002,1.0,1,orange
4433,6.66,48.40572205,-122.6449002,1.0,1,orange
4436,8.91,48.40572205,-122.6449002,1.0,1,orange
4439,-0.77,48.40572205,-122.6449002,1.0,0,blue
4442,10.71,48.40572205,-122.6449002,0.98,1,orange
4445,6.17,48.40572205,-122.6449002,0.98,1,orange
4448,8.71,48.40572205,-122.6449002,0.98,1,orange
4451,-0.27,48.40572205,-122.6449002,0.94,0,blue
4454,10.68,48.40572205,-122.6449002,0.94,1,orange
4457,5.58,48.40572205,-122.6449002,0.94,1,orange
4460,8.43,48.40572205,-122.6449002,0.94,1,orange
4463,0.48,48.40572205,-122.6449002,0.89,0,blue
4466,10.68,48.40572205,-122.6449002,0.89,1,orange
4469,4.91,48.40572205,-122.6449002,0.89,1,orange
4472,8.1,48.40572205,-122.6449002,0.89,1,orange
4475,1.49,48.40572205,-122.6449002,0.82,0,blue
4478,10.64,48.40572205,-122.6449002,0.82,1,orange
4481,4.18,48.40572205,-122.6449002,0.82,0,blue
4484,7.74,48.40572205,-122.6449002,0.82,1,orange
4487,2.74,48.40572205,-122.6449002,0.74,0,blue
4490,10.52,48.40572205,-122.6449002,0.74,1,orange
4493,3.42,48.40572205,-122.6449002,0.74,0,blue
4496,7.44,48.40572205,-122.6449002,0.74,1,orange
4499,4.17,48.40572205,-122.6449002,0.66,0,blue
4502,10.29,48.40572205,-122.6449002,0.66,1,orange
4505,2.68,48.40572205,-122.6449002,0.66,0,blue
4508,7.29,48.40572205,-122.6449002,0.66,1,orange
4511,5.66,48.40572205,-122.6449002,0.56,1,orange
4514,9.98,48.40572205,-122.6449002,0.56,1,orange
4517,1.96,48.40572205,-122.6449002,0.56,0,blue
4520,7.44,48.40572205,-122.6449002,0.56,1,orange
4522,7.08,48.40572205,-122.6449002,0.47,1,orange
4526,9.65,48.40572205,-122.6449002,0.47,1,orange
4529,1.22,48.40572205,-122.6449002,0.47,0,blue
4532,8.07,48.40572205,-122.6449002,0.36,1,orange
4535,8.25,48.40572205,-122.6449002,0.36,1,orange
4538,9.38,48.40572205,-122.6449002,0.36,1,orange
4541,0.43,48.40572205,-122.6449002,0.36,0,blue
4544,8.96,48.40572205,-122.6449002,0.27,1,orange
4547,8.82,48.40572205,-122.6449002,0.27,1,orange
4550,9.24,48.40572205,-122.6449002,0.27,1,orange
4553,-0.42,48.40572205,-122.6449002,0.27,0,blue
4556,9.71,48.40572205,-122.6449002,0.18,1,orange
4559,8.76,48.40572205,-122.6449002,0.18,1,orange
4562,9.29,48.40572205,-122.6449002,0.18,1,orange
4565,-1.28,48.40572205,-122.6449002,0.18,0,blue
4568,10.25,48.40572205,-122.6449002,0.1,1,orange
4571,8.37,48.40572205,-122.6449002,0.1,1,orange
4574,9.53,48.40572205,-122.6449002,0.1,1,orange
4577,-2.03,48.40572205,-122.6449002,0.1,0,blue
4580,10.64,48.40572205,-122.6449002,0.04,1,orange
4583,7.76,48.40572205,-122.6449002,0.04,1,orange
4586,9.84,48.40572205,-122.6449002,0.04,1,orange
4589,-2.52,48.40572205,-122.6449002,0.04,0,blue
4592,10.94,48.40572205,-122.6449002,0.01,1,orange
4595,6.94,48.40572205,-122.6449002,0.01,1,orange
4598,10.07,48.40572205,-122.6449002,0.01,1,orange
4601,-2.6,48.40572205,-122.6449002,0.01,0,blue
4604,11.18,48.40572205,-122.6449002,0.0,1,orange
4607,5.91,48.40572205,-122.6449002,0.0,1,orange
4610,10.12,48.40572205,-122.6449002,0.0,1,orange
4613,-2.16,48.40572205,-122.6449002,0.0,0,blue
4616,11.38,48.40572205,-122.6449002,0.03,1,orange
4619,4.73,48.40572205,-122.6449002,0.03,1,orange
4622,9.94,48.40572205,-122.6449002,0.03,1,orange
4625,-1.19,48.40572205,-122.6449002,0.08,0,blue
4628,11.53,48.40572205,-122.6449002,0.08,1,orange
4631,3.5,48.40572205,-122.6449002,0.08,0,blue
4634,9.56,48.40572205,-122.6449002,0.08,1,orange
4637,0.27,48.40572205,-122.6449002,0.16,0,blue
4640,11.56,48.40572205,-122.6449002,0.16,1,orange
4643,2.36,48.40572205,-122.6449002,0.16,0,blue
4646,9.06,48.40572205,-122.6449002,0.16,1,orange
4649,2.07,48.40572205,-122.6449002,0.26,0,blue
4652,11.41,48.40572205,-122.6449002,0.26,1,orange
4655,1.42,48.40572205,-122.6449002,0.26,0,blue
4658,8.58,48.40572205,-122.6449002,0.26,1,orange
4661,4.02,48.40572205,-122.6449002,0.36,0,blue
4664,11.06,48.40572205,-122.6449002,0.36,1,orange
4667,0.77,48.40572205,-122.6449002,0.36,0,blue
4670,8.29,48.40572205,-122.6449002,0.36,1,orange
4673,5.87,48.40572205,-122.6449002,0.47,1,orange
4676,10.51,48.40572205,-122.6449002,0.47,1,orange
4679,0.4,48.40572205,-122.6449002,0.47,0,blue
4682,8.44,48.40572205,-122.6449002,0.58,1,orange
4685,7.36,48.40572205,-122.6449002,0.58,1,orange
4688,9.84,48.40572205,-122.6449002,0.58,1,orange
4691,0.23,48.40572205,-122.6449002,0.58,0,blue
4694,9.11,48.40572205,-122.6449002,0.68,1,orange
4697,8.05,48.40572205,-122.6449002,0.68,1,orange
4700,9.19,48.40572205,-122.6449002,0.68,1,orange
4703,0.12,48.40572205,-122.6449002,0.68,0,blue
4706,9.81,48.40572205,-122.6449002,0.77,1,orange
4709,7.81,48.40572205,-122.6449002,0.77,1,orange
4712,8.73,48.40572205,-122.6449002,0.77,1,orange
4715,-0.01,48.40572205,-122.6449002,0.77,0,blue
4718,10.26,48.40572205,-122.6449002,0.84,1,orange
4721,7.25,48.40572205,-122.6449002,0.84,1,orange
4724,8.55,48.40572205,-122.6449002,0.84,1,orange
4727,-0.14,48.40572205,-122.6449002,0.84,0,blue
4730,10.45,48.40572205,-122.6449002,0.91,1,orange
4733,6.67,48.40572205,-122.6449002,0.91,1,orange
4736,8.58,48.40572205,-122.6449002,0.91,1,orange
